,Zygote,2C,4C,8C,E6.5,E7.5,mES2iL,8-rep1,8-rep2
chr1-103200001-103300000,0.8333,0.95,0.0,0.0,0.8,1.0,0.6263,0.0,0.3692
chr1-103300001-103400000,0.333,1.0,0.0,0.0,0.6716,0.7857,0.6547,0.0,0.0
chr1-103400001-103500000,0.8429,0.9226,0.0,0.0,0.9681,0.9667,0.5088,0.1854,0.159
chr1-103500001-103600000,0.2237,0.7143,0.0,0.0,0.75,0.68,0.1875,0.0,0.0
chr1-103600001-103700000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-103700001-103800000,1.0,0.0,0.0,0.0,0.5,0.0,0.5338,0.0,0.0
chr1-103800001-103900000,0.354,0.5,0.0,1.0,0.3333,0.5385,0.1776,0.0,0.0
chr1-103900001-104000000,0.125,0.0,0.0,0.0,0.0,0.0,0.8545,0.0,0.0
chr1-104000001-104100000,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0
chr1-10400001-10500000,1.0,0.4872,0.0,0.0,0.7973,0.9787,0.5597,0.0,0.0
chr1-104100001-104200000,0.0,0.0,0.0,0.0,0.0,0.0,0.5651,0.0,0.0625
chr1-104200001-104300000,0.0,0.0,0.0,0.0,0.0,0.0,0.3884,0.0,0.0
chr1-104300001-104400000,0.2,0.0,0.0,0.0,0.0,0.0,0.3541,0.0,0.2205
chr1-104400001-104500000,0.2807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-104500001-104600000,0.7273,0.0,0.0,0.9048,0.0,0.0,0.8846,0.4,0.3939
chr1-104600001-104700000,0.0,0.0,0.0,0.0,0.0,0.0,0.4977,0.25,0.2857
chr1-104700001-104800000,0.1111,0.0,0.0,0.0,0.0,0.0,0.1852,0.0,0.0333
chr1-104800001-104900000,0.3333,0.1439,0.0,0.0,0.0,0.0,0.3243,0.0,0.0
chr1-104900001-105000000,0.0626,0.0526,0.0238,0.0,0.2321,0.3111,0.034,0.12,0.0395
chr1-105000001-105100000,0.5442,0.2655,0.493,0.5,0.7887,0.8705,0.4207,0.0,0.1429
chr1-10500001-10600000,0.5437,0.4645,0.0,0.6118,0.8641,0.923,0.6247,0.2381,0.1619
chr1-105100001-105200000,0.0556,0.0,0.0,0.5,0.9231,0.9167,0.4978,0.0556,0.2591
chr1-105200001-105300000,0.2359,0.1597,0.0,0.127,0.6885,0.8828,0.3835,0.2222,0.2056
chr1-105300001-105400000,0.006,0.1415,0.2941,0.076,0.0177,0.0048,0.0526,0.0479,0.0588
chr1-105400001-105500000,0.641,0.8148,0.0,0.5,0.9366,0.9545,0.4568,0.0,0.0
chr1-105500001-105600000,0.7059,0.9731,0.0,0.5,0.8824,0.8838,0.5211,0.4857,0.5109
chr1-105600001-105700000,0.0254,0.0064,0.255,0.0,0.0156,0.0052,0.0776,0.0079,0.037
chr1-105700001-105800000,0.0564,0.1,0.0,0.0045,0.1414,0.1626,0.0864,0.0,0.0169
chr1-105800001-105900000,0.2175,0.1341,0.0,0.0,0.3509,0.3988,0.2328,0.1321,0.2603
chr1-105900001-106000000,0.1114,0.0413,0.0,0.0276,0.0072,0.0093,0.0271,0.0,0.004
chr1-106000001-106100000,0.3282,0.1444,0.7549,0.0,0.7759,0.8702,0.2304,0.6667,0.1984
chr1-10600001-10700000,0.3442,0.4739,0.0,0.6,0.7578,0.8466,0.0,0.0,0.0
chr1-106100001-106200000,0.0275,0.0099,0.0678,0.0005,0.0136,0.014,0.029,0.0363,0.035
chr1-106200001-106300000,0.1429,0.0,0.0,0.0,0.0,0.0,0.4501,0.0,0.0556
chr1-106300001-106400000,0.5,0.0,0.0,0.0,0.0,1.0,0.3955,0.0,0.0417
chr1-106400001-106500000,0.1071,0.25,0.4,0.0,0.7222,0.6234,0.4381,0.0,0.275
chr1-106500001-106600000,0.4079,0.0,0.0,0.5,0.66,0.8182,0.2833,0.0,0.5333
chr1-106600001-106700000,0.0534,0.2586,0.0,0.1134,0.6219,0.515,0.4791,0.0,0.1619
chr1-106700001-106800000,0.0678,0.0156,0.0121,0.0184,0.0404,0.0575,0.0586,0.0203,0.0066
chr1-106800001-106900000,0.0,0.4167,0.0,0.0625,0.8954,0.9168,0.5828,0.0,0.0
chr1-106900001-107000000,0.9615,0.0,0.0,0.0,0.0,0.0,0.7381,0.0,0.0
chr1-107000001-107100000,0.0,0.25,0.0,0.0,0.0,0.0,0.475,0.0,0.0
chr1-10700001-10800000,0.0,0.0,0.0,0.0,0.0,0.0,0.487,0.25,0.2307
chr1-107100001-107200000,0.0,0.0,0.0,0.0,0.0,0.0,0.5573,0.1395,0.0808
chr1-107200001-107300000,0.0,0.0,0.0,0.0,0.6667,0.9231,0.595,0.0,0.1667
chr1-107300001-107400000,0.5,0.0,0.0,0.0,0.0,0.0,0.3389,0.3167,0.0833
chr1-107400001-107500000,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
chr1-107500001-107600000,0.0,0.0,0.0,0.0,0.0,0.0,0.478,0.0,0.0
chr1-107600001-107700000,0.0,0.0,0.0,0.0,0.0,0.0,0.3934,0.0,0.0
chr1-107700001-107800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-107800001-107900000,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0
chr1-107900001-108000000,0.4,0.0,0.0,0.0,0.0,0.0,0.2701,0.0,0.0571
chr1-108000001-108100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-10800001-10900000,0.2552,0.2357,0.0,0.963,0.6645,0.7234,0.0972,0.0,0.5417
chr1-108100001-108200000,0.3095,0.0,0.0,0.0,0.0,0.8545,0.6981,0.0,0.0
chr1-108200001-108300000,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.0,0.25
chr1-108300001-108400000,0.0,0.0,0.0,0.0,0.0,0.0,0.4691,0.0,0.0
chr1-108400001-108500000,0.4545,0.0,0.0,0.0,0.0,0.0,0.746,0.0,0.1667
chr1-108500001-108600000,0.4886,0.0,0.0,0.0,0.0,0.0,0.3333,0.2,0.0
chr1-108600001-108700000,0.0417,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.0
chr1-108700001-108800000,0.0,0.0,0.0,0.0,0.0,0.0,0.4333,0.0,0.145
chr1-108800001-108900000,0.0,0.0,0.0,0.0,1.0,0.7857,0.3905,0.48,0.3636
chr1-108900001-109000000,0.0,0.9592,0.0,1.0,0.9167,0.0,1.0,0.2386,0.2988
chr1-109000001-109100000,0.0437,0.0625,0.0,0.0,0.6631,0.6968,0.3863,0.1786,0.1354
chr1-10900001-11000000,0.1529,0.0774,0.0,0.0,0.0491,0.0816,0.0,0.0591,0.3021
chr1-109100001-109200000,0.0571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-109200001-109300000,0.5259,0.0,0.0,0.0,0.0,0.5,0.3503,0.29,0.2652
chr1-109300001-109400000,0.5,0.75,0.0,0.5833,0.9167,0.7778,0.2083,0.0,0.0
chr1-109400001-109500000,0.0,0.0,0.0,0.0,0.0,0.0,0.8571,0.75,0.0
chr1-109500001-109600000,0.7,1.0,0.0,0.0,0.6818,0.8793,0.4239,0.4167,0.0
chr1-109600001-109700000,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,0.0,0.0667
chr1-109700001-109800000,0.0238,0.0,0.0,0.0,0.5,1.0,0.3757,0.0,0.2003
chr1-109800001-109900000,0.25,0.0,0.0,0.0,0.0,0.0,0.4665,0.3333,0.0
chr1-109900001-110000000,0.0,0.0,0.0,0.0,0.0241,0.059,0.0117,0.0,0.0
chr1-110000001-110100000,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
chr1-11000001-11100000,0.0,0.5455,0.0,0.0,0.0,0.0,0.4119,0.6667,0.5565
chr1-1100001-1200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-110100001-110200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-110200001-110300000,0.0,0.0,0.0,0.0,0.0,0.0,0.4444,0.0,0.0
chr1-110300001-110400000,0.0,0.0,0.0,0.0,0.0,0.0,0.6167,0.0,0.0
chr1-110400001-110500000,0.0,0.0,0.0,0.0,0.0,0.0,0.328,0.0,0.0
chr1-110500001-110600000,0.0,0.7143,0.0,0.0,0.0,0.0,0.1738,0.0,0.0
chr1-110600001-110700000,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.05
chr1-110700001-110800000,0.1111,0.0,0.0,0.0,0.0,0.0,0.4044,0.0,0.3571
chr1-110800001-110900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-110900001-111000000,0.0,0.5714,0.0,0.0,0.0,0.0,0.1667,0.0714,0.1919
chr1-111000001-111100000,0.087,0.2273,0.0,0.0,0.0,0.0,0.5292,0.4167,0.0
chr1-11100001-11200000,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0
chr1-111100001-111200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-111200001-111300000,0.0,0.0,0.0,0.75,0.0,0.0,0.4872,0.1583,0.0
chr1-111300001-111400000,0.0,0.0,0.0,0.0,0.0,0.0,0.3978,0.0,0.1619
chr1-111400001-111500000,0.0,0.0,0.0,0.5,0.0,0.0,0.3958,0.145,0.12
chr1-111500001-111600000,0.3409,1.0,0.0,1.0,0.0,0.0,0.6172,0.1142,0.1312
chr1-111600001-111700000,0.0,0.0,0.0,0.0,0.0,0.0,0.2259,0.0625,0.0694
chr1-111700001-111800000,0.1787,0.1503,0.0,0.0,0.2059,0.0,0.5243,0.1071,0.0
chr1-111800001-111900000,0.0384,0.1227,0.0,0.0,0.1102,0.0872,0.0574,0.0417,0.2667
chr1-111900001-112000000,0.0,0.0,0.0,0.0,0.6,0.0,0.5557,0.4167,0.125
chr1-112000001-112100000,0.0,0.0,0.0,0.0,0.0,0.0,0.3444,0.0,0.0
chr1-11200001-11300000,0.0868,0.0,0.0,0.0,0.75,0.8115,0.2671,0.3333,0.25
chr1-112100001-112200000,0.125,0.0,0.0,0.0,0.0,0.0,0.2279,0.0,0.0
chr1-112200001-112300000,0.0,0.0,0.0,0.0,0.0,0.0,0.7674,0.0,0.2
chr1-112300001-112400000,0.0,0.0,0.0,0.0,0.0,0.0,0.1833,0.0,0.0
chr1-112400001-112500000,0.0,0.0,0.0,0.0,0.5652,0.0,0.1761,0.0,0.0556
chr1-112500001-112600000,0.7101,0.7386,0.0,0.6909,0.7202,0.0,0.6557,0.3038,0.3222
chr1-112600001-112700000,0.4818,0.3716,0.0,0.0,0.6764,0.4585,0.566,0.2221,0.1156
chr1-112700001-112800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-112800001-112900000,0.3034,0.7628,0.0,0.0667,0.4405,0.4444,0.5578,0.0476,0.1694
chr1-112900001-113000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222,0.3755
chr1-113000001-113100000,0.0,0.0,0.0,0.0,0.0,0.0,0.6291,0.4375,0.325
chr1-11300001-11400000,0.4894,0.5037,0.7239,0.7667,0.5626,0.6397,0.3185,0.2857,0.3287
chr1-113100001-113200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-113200001-113300000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-113300001-113400000,0.0,0.0,0.0,0.0,0.0,0.0,0.2024,0.0,0.0
chr1-113400001-113500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-113500001-113600000,0.0,0.0,0.0,0.0,0.0,0.0,0.5333,0.0,0.0
chr1-113600001-113700000,1.0,0.0,0.0,1.0,0.0,1.0,0.4064,0.0,0.0
chr1-113700001-113800000,0.6979,0.0,0.0,0.0,1.0,0.9405,0.4138,0.5714,0.3056
chr1-113800001-113900000,0.3935,0.6961,0.0,0.3333,0.74,0.6852,0.4954,0.0,0.0
chr1-113900001-114000000,0.2,0.0,0.0,0.0,0.2,0.1667,0.25,0.2786,0.375
chr1-114000001-114100000,0.04,0.0,0.0,0.0,0.2727,0.75,0.6667,0.375,0.0833
chr1-11400001-11500000,0.0173,0.0,0.0,0.037,0.0761,0.0324,0.0684,0.0,0.75
chr1-114100001-114200000,0.8,0.0,0.0,0.0,0.7,0.875,0.5474,0.0833,0.2052
chr1-114200001-114300000,0.4425,0.5792,0.0,0.6474,0.5282,0.6635,0.3492,0.0,0.119
chr1-114300001-114400000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
chr1-114400001-114500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-114500001-114600000,0.6,0.0,0.0,0.15,0.5064,0.8667,0.6483,0.058,0.0918
chr1-114600001-114700000,0.3077,0.0,0.0,0.0,0.5909,0.6667,0.5235,0.2667,0.1951
chr1-114700001-114800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0227,0.1818,0.0
chr1-114800001-114900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0538,0.0619
chr1-114900001-115000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-115000001-115100000,0.0,0.0,0.0,0.0,0.0,0.0,0.5701,0.0,0.0
chr1-11500001-11600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-115100001-115200000,0.0441,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0
chr1-115200001-115300000,0.0278,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
chr1-115300001-115400000,0.0,0.0,0.0,0.0,0.0,0.0,0.5941,0.0,0.0
chr1-115400001-115500000,0.3333,0.0,0.0,0.0,0.2,0.0,0.0714,0.1424,0.1716
chr1-115500001-115600000,0.0,0.0,0.0,0.0,0.0,0.0,0.2222,0.0,0.0
chr1-115600001-115700000,0.0,0.0,0.0,0.0,0.0233,0.0,0.0123,0.0,0.0
chr1-115700001-115800000,0.0,0.0,0.0,0.0,0.0,0.0,0.4001,0.0,0.0
chr1-115800001-115900000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
chr1-115900001-116000000,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
chr1-116000001-116100000,0.0,0.0,0.0,0.0,0.0,0.0,0.8381,0.0,0.0
chr1-11600001-11700000,1.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0
chr1-116100001-116200000,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
chr1-116200001-116300000,0.0,0.0,0.0,0.0,0.0,0.0,0.1833,0.0,0.0
chr1-116300001-116400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667
chr1-116400001-116500000,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0
chr1-116500001-116600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-116600001-116700000,0.4715,0.8889,0.0,0.0,0.0,0.0,0.5503,0.25,0.3778
chr1-116700001-116800000,0.0,0.0,0.0,0.0,0.0,0.0,0.4889,0.0,0.0
chr1-116800001-116900000,0.8929,0.6667,0.0,0.0,0.7043,0.0,0.5041,0.0714,0.0
chr1-116900001-117000000,0.0,0.0,0.0,0.0,0.0,0.0,0.6684,0.0,0.0
chr1-117000001-117100000,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0769,0.4833
chr1-11700001-11800000,0.2483,0.0,0.2854,0.0303,0.5575,0.5182,0.3125,0.0,0.275
chr1-117100001-117200000,0.5484,0.0,0.0,0.0,0.75,0.0,0.4365,0.0,0.0
chr1-117200001-117300000,0.2545,0.0,0.0,1.0,0.3304,0.0,0.2284,0.0238,0.0405
chr1-117300001-117400000,0.0,0.0,0.0,0.0,0.0,0.0,0.5526,0.0,0.0
chr1-117400001-117500000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0632
chr1-117500001-117600000,0.5223,0.4627,0.0,0.0,0.5149,0.6268,0.6765,0.1111,0.375
chr1-117600001-117700000,0.5,1.0,0.0,0.0,0.8862,0.8125,0.3686,0.1168,0.2941
chr1-117700001-117800000,0.398,0.0,0.0,0.25,0.6246,0.622,0.8444,0.1667,0.3703
chr1-117800001-117900000,0.6933,0.207,0.0,0.0,0.6389,0.6172,0.4338,0.0227,0.1562
chr1-117900001-118000000,0.5369,0.9167,0.0,0.0,0.8182,0.7333,0.5983,0.23,0.2003
chr1-118000001-118100000,0.3535,0.4069,0.0,0.4436,0.5543,0.7636,0.4528,0.2545,0.1911
chr1-11800001-11900000,0.641,0.0,0.0,0.9615,0.625,0.9583,1.0,0.375,0.2381
chr1-118100001-118200000,0.6893,0.8229,0.0,0.8723,0.7899,0.8649,0.5978,0.1656,0.236
chr1-118200001-118300000,0.4555,0.5268,0.0,0.3148,0.7404,0.8151,0.5317,0.0612,0.1441
chr1-118300001-118400000,0.0416,0.0361,0.0,0.0342,0.0429,0.0492,0.0223,0.0179,0.0403
chr1-118400001-118500000,0.3571,0.342,0.0,0.0,0.3704,0.3844,0.221,0.3438,0.2181
chr1-118500001-118600000,0.4682,0.3684,0.0,0.1389,0.919,0.8703,0.4711,0.3125,0.3948
chr1-118600001-118700000,0.1881,0.2567,0.11,0.098,0.1849,0.2252,0.1037,0.1826,0.1103
chr1-118700001-118800000,0.2951,0.1667,0.0,0.0,0.4708,0.5982,0.3907,0.25,0.4114
chr1-118800001-118900000,0.4004,0.4732,1.0,0.2105,0.7228,0.7928,0.3343,0.2111,0.2152
chr1-118900001-119000000,0.0762,0.1413,0.0,0.1244,0.5012,0.6794,0.42,0.3438,0.3167
chr1-119000001-119100000,0.0197,0.0194,0.0095,0.0237,0.2149,0.2402,0.1107,0.0439,0.031
chr1-11900001-12000000,0.0,0.0,0.0,0.0,0.0,0.0,0.6833,0.0,0.0667
chr1-119100001-119200000,0.1573,0.2376,0.5,0.1453,0.608,0.7046,0.3705,0.1593,0.2191
chr1-119200001-119300000,0.182,0.1131,0.171,0.1361,0.6168,0.7583,0.3559,0.225,0.2047
chr1-119300001-119400000,0.0346,0.1046,0.0,0.1604,0.4655,0.4302,0.2504,0.2529,0.2583
chr1-119400001-119500000,0.0461,0.0385,0.0936,0.014,0.1024,0.1024,0.0886,0.069,0.0649
chr1-119500001-119600000,0.0542,0.0315,0.25,0.0148,0.0487,0.0607,0.1664,0.03,0.0685
chr1-119600001-119700000,0.0796,0.0995,0.0,0.0,0.0039,0.0173,0.0396,0.0183,0.0382
chr1-119700001-119800000,0.9403,1.0,1.0,0.0,0.7492,0.7899,0.0743,0.0,0.4
chr1-119800001-119900000,0.0213,0.0258,0.2857,0.0007,0.1049,0.0783,0.0602,0.0115,0.0449
chr1-119900001-120000000,0.0535,0.0466,0.1682,0.0,0.1392,0.2534,0.1983,0.0386,0.0288
chr1-120000001-120100000,0.3379,0.3182,1.0,0.0758,0.2292,0.2185,0.1757,0.0962,0.2035
chr1-12000001-12100000,0.0,0.0,0.0,0.0,0.0,0.0,0.4848,0.0833,0.3048
chr1-1200001-1300000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-120100001-120200000,0.2725,0.1551,0.1,0.1538,0.3189,0.3869,0.1494,0.2632,0.1201
chr1-120200001-120300000,0.0745,0.092,0.001,0.0,0.3922,0.4248,0.1791,0.2318,0.2012
chr1-120300001-120400000,0.1829,0.1272,0.0647,0.0616,0.1293,0.1475,0.1132,0.0464,0.0405
chr1-120400001-120500000,0.1803,0.5073,0.5,0.2,0.5608,0.5635,0.2931,0.1667,0.1603
chr1-120500001-120600000,0.3179,0.2144,0.7435,0.0667,0.2919,0.2009,0.3554,0.1182,0.1269
chr1-120600001-120700000,0.0258,0.0253,0.0002,0.0617,0.1399,0.1,0.0992,0.0532,0.0312
chr1-120700001-120800000,0.0155,0.0,0.0,0.0,0.7895,0.7834,0.4673,0.0,0.0
chr1-120800001-120900000,0.0,0.1081,0.0,0.0,0.4889,0.75,0.1979,0.0,0.0
chr1-120900001-121000000,0.0,0.0,0.0,0.0,0.4706,0.4362,0.3276,0.0,0.0
chr1-121000001-121100000,0.1262,0.1087,0.3333,0.0,0.3636,0.3665,0.2525,0.0,0.125
chr1-12100001-12200000,0.0,0.0,0.0,0.0,0.0,0.0,0.7292,0.0,0.0
chr1-121100001-121200000,0.0035,0.0159,0.0,0.0,0.2267,0.1436,0.1907,0.0429,0.0
chr1-121200001-121300000,0.0,0.0,0.0,0.0,0.8571,0.8684,0.3557,0.0,0.1019
chr1-121300001-121400000,0.0081,0.0197,0.0,0.0952,0.0507,0.044,0.0393,0.0125,0.0577
chr1-121400001-121500000,0.13,0.2416,0.2839,0.0748,0.2365,0.2604,0.3433,0.1855,0.2144
chr1-121500001-121600000,0.0494,0.2188,0.1667,0.0769,0.1981,0.0415,0.2886,0.4074,0.0
chr1-121600001-121700000,0.7062,0.0833,0.0,0.0,0.6021,0.6404,0.773,0.0,0.0
chr1-121700001-121800000,0.3346,0.0,0.0,0.2214,0.4913,0.8712,0.4096,0.0,0.0
chr1-121800001-121900000,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.0,0.2
chr1-121900001-122000000,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0
chr1-122000001-122100000,0.0867,0.0,0.0,0.0,0.1,0.5,0.4426,0.1389,0.1182
chr1-12200001-12300000,0.0,0.0,0.0,0.0,0.0,0.0,0.2119,0.102,0.0938
chr1-122100001-122200000,0.0,0.0,0.0,0.0,0.0,0.125,0.173,0.0,0.0
chr1-122200001-122300000,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
chr1-122300001-122400000,0.1103,0.0626,0.0,0.0233,0.2903,0.2367,0.333,0.25,0.25
chr1-122400001-122500000,0.0,0.0,0.0,0.0,0.0,0.0,0.4667,0.2,0.1091
chr1-122500001-122600000,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0
chr1-122600001-122700000,0.5,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0
chr1-122700001-122800000,0.8562,0.6024,0.0,1.0,0.889,0.9438,0.625,0.1094,0.2785
chr1-122800001-122900000,0.3182,0.5329,0.0,0.0,0.8077,0.8657,0.667,0.3333,0.372
chr1-122900001-123000000,0.1692,0.0,0.0,0.3333,0.4634,0.7593,0.1837,0.1116,0.25
chr1-123000001-123100000,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0
chr1-12300001-12400000,0.0,0.0,0.0,0.0,0.0,0.0,0.3287,0.0,0.0
chr1-123100001-123200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-123200001-123300000,0.0,0.0,0.0,0.0,0.0,0.0,0.2667,0.0,0.0
chr1-123300001-123400000,0.0,0.0,0.0,0.0,0.0,0.0,0.4123,0.0,0.1625
chr1-123400001-123500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-123500001-123600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-123600001-123700000,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0
chr1-123700001-123800000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
chr1-123800001-123900000,0.0,0.0,0.0,0.2727,0.0,0.0,0.0,0.0,0.0
chr1-123900001-124000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
chr1-124000001-124100000,0.0,0.0201,0.0,0.0,0.1104,0.1017,0.0607,0.0,0.0
chr1-12400001-12500000,0.0,0.0,0.0,0.0,1.0,0.9583,0.7131,0.3714,0.305
chr1-124100001-124200000,0.0,0.0,0.0,0.0,0.0,0.0,0.5803,0.0,0.0
